gene_symbol,HF1_1,HF1_3,HF1_4,HF1_5,HF1_6,HF1_7,HF2_2,HF2_3,HF2_4,HF2_6,HF2_8,HF2_9,HJ_1,HJ_2,HJ_3,HJ_7,HJ_8,HJ_9,WJ_10,WJ_1,WJ_2,WJ_4,WJ_7,WJ_8
POMC,28964.337,26208.325,103.866,190.462,46898.986,5.292,67.162,10342.596,15054.326,2243.261,12754.796,705.765,254.119,74512.718,51069.605,98000.311,101580.205,3546.295,21332.414,9009.329,25471.693,19120.134,45.717,2.588
prl,10893.389,4632.679,53.144,358.653,14327.487,9.609,178.157,15148.812,28.046,7058.214,6321.377,449.234,4.164,8309.797,11233.128,6516.063,6166.285,6870.03,4176.121,5681.8,8747.579,5549.644,41.162,3.675
HBZ,650.007,1899.897,300.788,5178.361,1219.747,1734.186,2318.553,1719.956,7642.329,3884.541,2837.91,31870.885,6743.86,2488.424,787.867,10608.937,5158.023,2229.91,1749.69,1077.791,1369.484,2504.44,1949.758,2728.246
GGCT,1731.033,7335.145,5505.236,6717.34,4413.018,7288.377,2249.453,1805.116,3301.337,3358.026,1728.953,2503.132,3845.442,468.17,3363.792,2215.252,2989.201,5314.024,1946.339,804.6,1748.046,758.955,2461.446,3145.771
NMS,3969.384,3820.655,16.908,27.219,5911.505,6.495,6.21,1250.316,1623.52,15.275,638.928,4.841,49.636,10419.991,7072.537,12797.903,15322.338,220.015,2040.944,786.043,1523.154,1583.205,12.391,3.966
RPL36A,2657.175,3664.442,2649.565,2440.008,3711.258,2560.398,1853.82,2484.996,2814.316,2270.028,1745.734,2192.69,2985.197,2803.159,2971.057,3199.305,3112.595,2945.028,1314.956,1872.995,2093.502,2511.737,2781.418,1993.984
RPL31,2284.913,2523.942,2625.686,2510.666,3409.621,2450.819,1634.577,2284.465,2614.736,2750.286,1750.894,2103.816,2669.149,2210.185,2683.229,2345.848,2822.362,2195.032,1629.856,1901.655,2309.284,2398.88,2997.223,1934.743
FABP7,1827.481,1191.153,3617.871,2784.353,2301.428,3069.889,2594.448,2241.428,2664.033,2177.705,1435.724,2996.656,1971.371,1135.936,1661.467,2169.378,2081.333,3036.885,1515.7,3049.424,2775.184,1230.21,3475.884,2150.063
RPS29,2013.886,2545.762,2629.297,2274.09,2894.475,2706.937,1613.574,2007.391,3734.676,2162.516,1440.201,2192.128,2538.575,1467.399,2643.465,2523.999,2542.77,2837.494,1068.236,1503.277,1572.37,1537.348,2774.211,1835.715
RPL30,2387.532,2495.51,2289.979,2032.021,2913.092,2137.961,1573.564,2192.555,2459.902,2271.368,1532.328,1814.969,2315.626,1855.732,2278.466,2180.416,2361.259,2403.172,1363.323,1763.851,1935.424,2092.503,2429.374,1962.038
RPS14,1755.735,2666.564,2262.855,1995.926,2737.073,2099.819,1442.999,2401.749,2094.508,2173.309,1294.757,1777.944,2275.832,2019.368,2365.313,2358.705,2523.37,2281.235,1298.916,1720.211,1905.729,2104.493,2236.11,1738.571
RPL35,1851.758,2426.004,2120.651,2043.219,2570.465,2206.282,1408.557,2098.772,2012.141,2057.364,1493.204,1675.523,2337.694,1836.239,2025.341,2328.149,2065.75,2153.978,1218.565,1816.147,2015.499,2006.742,2334.822,1760.672
RPL23,1794.553,2137.264,2087.492,1971.373,2551.346,2266.355,1468.202,2163.383,2461.703,1992.668,1454.196,1808.976,2204.767,1968.809,2029.741,2060.571,2270.572,1980.689,1281.88,1848.45,1956.673,1913.926,2241.705,1712.738
TPT1,1797.865,2794.101,1894.095,1862.785,2517.695,1710.477,1109.08,1986.972,1990.953,1698.577,1647.927,1635.804,1822.018,2751.95,1948.299,2691.757,2374.775,2293.339,1629.612,1839.286,1983.887,2223.546,1624.202,1626.801
CD74,2397.437,1994.764,1739.062,2400.982,1439.521,1593.447,1570.083,2900.242,1570.803,1435.826,714.458,1116.968,2978.412,2737.986,1852.17,2925.439,4716.809,2047.202,1054.391,1319.163,1448.455,1651.62,1469.335,864.167
RPS12,1774.718,2477.726,1948.743,1796.285,2328.304,1961.719,1331.094,2129.146,2469.274,2050.26,1407.157,1631.68,2075.086,1613.292,2194.94,1883.249,2167.147,2078.044,1055.558,1565.606,1728.557,1668.949,2434.272,1496.781
RPL23A,1593.719,1898.776,2147.468,1918.371,2551.371,2032.863,1281.292,1760.211,2328.694,1734.115,1462.317,1994.268,1907.525,1791.769,2208.621,2127.19,2133.416,2029.705,1380.585,1676.763,1488.24,1743.362,1951.96,1853.662
