FID,IID,Gender,Body_weight,Total_length,Body_length,Head_length,Body_height,Body_width
RCC,1,Female,166.6,200.3,180.6,49.1,74.2,42.3
RCC,2,Female,161.6,180.4,160.3,44.3,76.4,39.6
RCC,3,Female,141.9,180.2,140.9,42.3,69.9,40.1
RCC,4,Male,139.7,180.3,152.9,45.1,72.3,36.2
RCC,5,Male,155.8,195.6,157.2,46.1,69,42
RCC,6,Female,134.9,189.6,156.3,44.3,69.6,39.7
RCC,7,Female,152.6,190.2,158.1,43.2,71.6,39.7
RCC,8,Female,144.3,176.3,142.9,39.2,67.6,39.3
RCC,9,Female,150.1,179.3,152.9,45,75.6,38.7
RCC,10,Female,167,183.6,157.3,42.1,76.3,43.5
RCC,11,Female,154.3,185.6,152.3,39.6,74.4,41.2
RCC,12,Male,107.9,165.3,139.4,35,64.5,35.6
RCC,13,Male,93.8,145.6,120.1,29.1,65,34.5
RCC,14,Female,155.6,185.2,160.1,43.2,71,43.5
RCC,15,Female,97.5,163.1,139.9,41,56.7,34.5
RCC,16,Male,86.1,160.5,132,36.1,59.3,29.7
RCC,17,Male,127,169.1,136,33.1,67.2,35.9
RCC,18,Female,153.6,180.2,152.3,43,67.5,39
RCC,19,Male,101.1,164.5,136,35.2,64.5,30.1
RCC,20,Female,130.1,161.2,134.6,43.5,69.7,42.3
RCC,21,Female,155.2,198.9,165.2,47.6,70.1,39.8
RCC,22,Female,150.3,180.2,153.6,42.5,69.7,35.6
RCC,23,Male,95.8,155.6,135.6,34.5,65.7,30.6
RCC,24,Female,122.9,170,140.2,38.5,65.6,35
RCC,25,Male,138.6,172,139.4,41,71,39.4
RCC,26,Male,138.2,181.3,149.5,36.7,65.9,37.8
RCC,27,Female,126.8,180.2,151.3,35.6,64.3,32.3
RCC,28,Male,112.3,176,143.2,37.8,65,33.4
RCC,29,Male,171.7,182.3,153.4,45,79.7,35.6
RCC,30,Female,206.3,195,172.3,46,76.5,42
RCC,31,Male,198.3,193.2,159,39.6,73.5,39.8
RCC,32,Female,123.4,160,133.2,35.9,70,37.8
RCC,33,Female,143.5,180.9,155.4,37.1,72.3,37.2
RCC,34,Male,143.4,176.6,152,37.3,69.1,39.2
RCC,35,Female,154.6,156.6,125.3,36.7,78.9,41.2
RCC,36,Female,74.9,145.6,123,31.5,54.2,33.2
RCC,37,Female,137.5,185.6,152.3,46.7,72.3,35
RCC,38,Female,137.6,172.3,140.5,39.6,70,35.5
RCC,39,Female,150.6,175.3,151.2,37.6,67.2,37.9
RCC,40,Male,146.4,170.1,137.6,36.5,70.2,40.1
RCC,41,Female,164.7,181.2,151,41.1,74.5,41.3
RCC,42,Male,128,173.5,147.7,41.2,68.5,35
RCC,43,Female,145,186.7,152.3,44.6,67.8,39
RCC,44,Male,148.1,180.4,151,39,70.2,36.8
RCC,45,Female,182.4,198.1,155,42,68.9,37.2
RCC,46,Female,165.3,172.3,140.1,31.2,47.1,39.8
RCC,47,Female,158,171,142.3,33.6,68.7,34.6
RCC,48,Male,124,165,132.3,36.1,72.3,36.7
RCC,49,Male,135.5,172.3,141,32.4,70.1,37.7
RCC,50,Male,122.9,175.2,146.1,39.8,61,35.6
RCC,51,Female,166.6,200.3,180.6,49.1,74.2,42.3
RCC,52,Female,161.6,180.4,160.3,44.3,76.4,39.6
RCC,53,Female,141.9,180.2,140.9,42.3,69.9,40.1
RCC,54,Male,139.7,180.3,152.9,45.1,72.3,36.2
RCC,55,Male,155.8,195.6,157.2,46.1,69,42
RCC,56,Female,134.9,189.6,156.3,44.3,69.6,39.7
RCC,57,Female,152.6,190.2,158.1,43.2,71.6,39.7
RCC,58,Female,144.3,176.3,142.9,39.2,67.6,39.3
RCC,59,Female,150.1,179.3,152.9,45,75.6,38.7
RCC,60,Female,167,183.6,157.3,42.1,76.3,43.5
RCC,61,Female,154.3,185.6,152.3,39.6,74.4,41.2
RCC,62,Male,107.9,165.3,139.4,35,64.5,35.6
RCC,63,Male,93.8,145.6,120.1,29.1,65,34.5
RCC,64,Female,155.6,185.2,160.1,43.2,71,43.5
RCC,65,Female,97.5,163.1,139.9,41,56.7,34.5
RCC,66,Male,86.1,160.5,132,36.1,59.3,29.7
RCC,67,Male,127,169.1,136,33.1,67.2,35.9
RCC,68,Female,153.6,180.2,152.3,43,67.5,39
RCC,69,Male,101.1,164.5,136,35.2,64.5,30.1
RCC,70,Female,130.1,161.2,134.6,43.5,69.7,42.3
RCC,71,Female,155.2,198.9,165.2,47.6,70.1,39.8
RCC,72,Female,150.3,180.2,153.6,42.5,69.7,35.6
RCC,73,Male,95.8,155.6,135.6,34.5,65.7,30.6
RCC,74,Female,122.9,170,140.2,38.5,65.6,35
RCC,75,Male,138.6,172,139.4,41,71,39.4
RCC,76,Male,138.2,181.3,149.5,36.7,65.9,37.8
RCC,77,Female,126.8,180.2,151.3,35.6,64.3,32.3
RCC,78,Male,112.3,176,143.2,37.8,65,33.4
RCC,79,Male,171.7,182.3,153.4,45,79.7,35.6
RCC,80,Female,206.3,195,172.3,46,76.5,42
RCC,81,Male,198.3,193.2,159,39.6,73.5,39.8
RCC,82,Female,123.4,160,133.2,35.9,70,37.8
RCC,83,Female,143.5,180.9,155.4,37.1,72.3,37.2
RCC,84,Male,143.4,176.6,152,37.3,69.1,39.2
RCC,85,Female,154.6,156.6,125.3,36.7,78.9,41.2
RCC,86,Female,74.9,145.6,123,31.5,54.2,33.2
RCC,87,Female,137.5,185.6,152.3,46.7,72.3,35
RCC,88,Female,137.6,172.3,140.5,39.6,70,35.5
RCC,89,Female,150.6,175.3,151.2,37.6,67.2,37.9
RCC,90,Male,146.4,170.1,137.6,36.5,70.2,40.1
RCC,91,Female,164.7,181.2,151,41.1,74.5,41.3
RCC,92,Male,128,173.5,147.7,41.2,68.5,35
RCC,93,Female,145,186.7,152.3,44.6,67.8,39
RCC,94,Male,148.1,180.4,151,39,70.2,36.8
RCC,95,Female,182.4,198.1,155,42,68.9,37.2
RCC,96,Female,165.3,172.3,140.1,31.2,47.1,39.8
RCC,97,Female,158,171,142.3,33.6,68.7,34.6
RCC,98,Male,124,165,132.3,36.1,72.3,36.7
RCC,99,Male,135.5,172.3,141,32.4,70.1,37.7
RCC,100,Male,122.9,175.2,146.1,39.8,61,35.6
WCC,1,Male,208.9,236.7,192.5,54.8,74.8,42.1
WCC,2,Male,372.8,276.4,232.1,64.8,92.7,54.4
WCC,3,Female,162,206.7,174.4,49.8,72.1,46.8
WCC,4,Male,197.2,227.6,194.3,56.7,78.2,48.4
WCC,5,Male,192.3,226.6,193.7,56.4,77.8,54.8
WCC,6,Male,139.1,199.8,166.7,44.5,64.2,47.2
WCC,7,Male,183.4,217.8,189.9,47.2,76.8,54.5
WCC,8,Male,168.7,214.5,179.6,48.8,77.3,47.2
WCC,9,Male,198.4,234.8,192.6,48.7,74.5,48.2
WCC,10,Male,330.2,256.7,216.4,54.7,94.8,63.5
WCC,11,Female,194.7,227.4,192.1,47.2,77.8,46.5
WCC,12,Male,221.2,243.7,206.8,56.4,83.7,49.8
WCC,13,Male,210.7,245.6,198.7,54.3,76.2,47.2
WCC,14,Male,152.8,218.6,176.4,46.7,74.8,53.2
WCC,15,Male,228.5,242.8,196.8,56.4,88.4,61.2
WCC,16,Male,229.6,249.8,206.5,53.4,84.3,51.2
WCC,17,Female,245.6,245.6,208.5,44.5,82.3,54.5
WCC,18,Male,164.4,208.7,178.4,52.3,76.6,54.8
WCC,19,Female,170.2,216.7,182.5,54.4,74.8,49.2
WCC,20,Female,277.2,238.7,208.2,56.7,86.7,56.8
WCC,21,Male,146.2,206.7,172.3,48.2,68.9,43.5
WCC,22,Male,206.2,231.7,192.6,49.8,81.2,48
WCC,23,Female,217.9,229.7,189.2,54.4,76.5,52.3
WCC,24,Male,203.1,235.2,203.1,54.7,82.6,45.8
WCC,25,Male,332.9,256.7,224.8,56.7,93.2,52.8
WCC,26,Male,185.2,218.9,187.8,53.4,77.8,48.2
WCC,27,Male,244.5,237.8,196.5,52.1,87.6,56.4
WCC,28,Male,200.7,232.5,192.7,53.2,78.9,43.5
WCC,29,Male,224.5,228.7,194.5,53.6,82.5,46.7
WCC,30,Female,165.7,207.6,174.8,48.6,73.4,48.2
WCC,31,Male,186.2,218.7,184.8,47.6,76.5,46.2
WCC,32,Male,247.6,243.2,198.6,58.7,87.5,44.8
WCC,33,Female,197.5,209.8,179.4,44.5,76.2,48.6
WCC,34,Male,241.6,227.8,194.5,43.2,87.6,56.1
WCC,35,Male,228.1,232.1,189.7,54.6,83.2,44.8
WCC,36,Male,185,226.7,188.8,52.1,76.2,48.9
WCC,37,Female,287.7,246.5,209.8,53.1,87.2,62.1
WCC,38,Male,194.6,229.8,196.6,53.2,74.5,43.1
WCC,39,Male,208.9,221.8,189.6,56.7,79.6,42.5
WCC,40,Male,345.3,268.9,229.4,56.7,97.2,48.5
WCC,41,Male,156.9,208.7,178.2,46.2,46.5,44.3
WCC,42,Male,212.2,234.5,196.7,54.2,78.2,46.8
WCC,43,Male,218.6,229.7,198.2,57.8,77.6,52.7
WCC,44,Male,178.5,206.7,178.5,46.5,76.7,44.3
WCC,45,Male,199.5,225.6,189.7,48.7,75.6,42.1
WCC,46,Male,167.9,218.9,187.5,54.3,77.8,43.2
WCC,47,Male,217.3,234.5,196.2,56.7,83.3,44.5
WCC,48,Female,302,232.5,194.8,54.7,92.5,48.2
WCC,49,Male,212.2,245.7,205.2,52.3,79.2,43.8
WCC,50,Male,220.4,226.5,186.3,55.7,79.2,46.8
WCC,51,Male,201.1,234.5,195.3,54.5,81.2,35.6
WCC,52,Male,194.1,224.5,180.9,42.3,81,35.6
WCC,53,Male,281.2,240.5,213,52.3,91.4,41.2
WCC,54,Male,168.3,215,180.1,42.3,75.6,34.2
WCC,55,Male,196.8,220.3,181.1,43.2,75.6,39.6
WCC,56,Male,222.9,220.3,189.6,51.2,83.5,35.6
WCC,57,Male,191.3,215.6,175,49.3,78.7,40.3
WCC,58,Male,211.3,227,185.6,47.3,84.2,41.5
WCC,59,Male,190.8,225.6,180.2,42.3,78.6,37.2
WCC,60,Male,231.8,235.6,195.1,47.2,82.3,39.6
WCC,61,Male,180.5,223.6,181.2,46.7,75.6,39.7
WCC,62,Male,288.9,240.5,200.1,51.2,89.7,43.5
WCC,63,Male,179.7,205.2,184.5,43.6,75.6,36.7
WCC,64,Male,213.8,234.6,186.7,47.2,79.6,37.2
WCC,65,Male,177.8,225.6,187.2,52.3,74.6,39.2
WCC,66,Male,197.6,225.6,180.2,49.3,79.2,37.6
WCC,67,Male,187.5,220.6,180.2,47.6,80.1,35.7
WCC,68,Male,217.3,220.6,180.3,41.9,85.2,35.6
WCC,69,Male,192,225.1,182.3,44.6,82.1,37.6
WCC,70,Male,287.5,250.1,205.6,51.2,89.6,45.2
WCC,71,Male,125.8,199.6,160.1,45.2,65.2,35.1
WCC,72,Male,205.2,239.6,197.2,53.4,84.2,39.7
WCC,73,Male,152.5,205.1,157.2,42.3,74.6,37.2
WCC,74,Male,137.9,204.1,161.2,37.8,69.2,35.4
WCC,75,Male,170.8,212.3,174.6,44.2,76.7,35.6
WCC,76,Male,191.6,230.1,182.3,51.6,72.4,43.2
WCC,77,Male,155.3,206,168.1,49.2,67.3,39.4
WCC,78,Male,238.5,231.2,196.7,53.4,85.6,45
WCC,79,Male,238.3,240.2,201.3,56.7,85.2,42.3
WCC,80,Male,212,232.3,180.2,45.1,79.2,45.6
WCC,81,Male,229.1,225.6,185,51.2,85.6,43.1
WCC,82,Male,227.2,239.2,198.6,54,82.3,43.6
WCC,83,Male,258.1,246.3,202.4,50.9,91.2,42.3
WCC,84,Female,307,261.2,212.3,54.6,91.7,50.6
WCC,85,Male,179.6,186.2,160.1,36.2,79.6,39.4
WCC,86,Male,180.3,229.1,180.2,50.6,72.3,39.7
WCC,87,Male,196.4,223.6,181.2,53.4,79.2,41.6
WCC,88,Male,244.6,239.6,187.2,52.3,86.2,43.6
WCC,89,Male,130.5,204.2,163.6,42.7,70.4,41.6
WCC,90,Male,203.5,216,175.3,40.6,78.2,41.6
WCC,91,Male,196.1,209.6,170.3,39.3,76.5,44.6
WCC,92,Male,200.9,231.2,191,51.3,76.3,36.7
WCC,93,Male,243.6,247.2,192.3,49.2,83.4,46.7
WCC,94,Male,186.5,210.6,167.2,49.3,76.2,40.5
WCC,95,Male,152.8,211.2,170.3,43.2,74.6,37.8
WCC,96,Male,193.8,221.6,183.2,45.6,80.7,41.2
WCC,97,Male,243.8,230.1,190.6,49.6,83.4,37.2
WCC,98,Male,195,225.6,179.3,51.2,78.3,40.6
WCC,99,Male,237.9,235.6,192.3,49.7,85.3,42.6
WCC,100,Male,189.9,215.3,170.6,39.2,74.2,37.9
WR,1,Female,195.2,217.6,182.44,52.31,71.64,33.99
WR,2,Female,213.2,224.5,188.2,50.88,79.67,35.16
WR,3,Female,229.7,213.4,177.57,50.57,74.2,34.19
WR,4,Female,228.7,217.34,178.46,52.52,53.13,40.6
WR,5,Female,227,212,173,41,83.2,45
WR,6,Female,254.9,245.6,236,52.3,78.8,43.4
WR,7,Female,640.7,324.3,261.2,68.5,112.5,57.3
WR,8,Female,238,244.7,195.7,58.4,85,38
WR,9,Female,246,233.7,187.4,46.5,76.3,42
WR,10,Female,258.3,243,184.3,48.7,81.2,44.5
WR,11,Female,226.9,214.3,173.2,46.5,82.1,37.3
WR,12,Female,293.4,234.5,203.1,52.1,87.7,43.4
WR,13,Female,220,261,192.2,47.3,79.1,39.4
WR,14,Female,243.8,239.4,186.6,46.7,83.2,40.7
WR,15,Female,198.6,224.3,173.7,51.2,75.1,36.3
WR,16,Female,251.6,236.1,193.2,44.7,81.1,39.8
WR,17,Female,170.1,194.3,161.3,39.7,71.2,35
WR,18,Female,313.7,273,215.2,67.1,82.2,44
WR,19,Female,163.1,200.3,155.7,42,66.5,34.4
WR,20,Female,266.8,234.3,185,45,81.7,39.5
WR,21,Female,229.6,223.7,184.5,43.2,74.5,40.3
WR,22,Female,286.1,239.8,198.3,53,87.6,45.5
WR,23,Female,231.8,236.3,183.1,44.8,76.5,37.1
WR,24,Female,185.9,205.1,164.3,35.6,74.3,33.7
WR,25,Female,184.7,223.1,182,43.1,73,36
WR,26,Female,298.9,240.3,192.2,43.7,87.3,42
WR,27,Female,301.9,261,207,49,80.3,43
WR,28,Female,207.01,225,176,43,78,42
WR,29,Female,238.8,239.1,200.2,52,74.5,35
WR,30,Female,204.4,213,168,45.9,76.2,39.7
WR,31,Female,164.8,227,187,46,71,35
WR,32,Female,288.6,235.7,203,49,82,41
WR,33,Female,251.3,235,190.1,52,80.3,36
WR,34,Female,215,225,192,49,87,35.6
WR,35,Female,265.6,225,186.7,45,80.3,42.3
WR,36,Female,215.8,220.1,175.7,43.73,77.4,37.4
WR,37,Female,210.5,205,176,43.2,76,37
WR,38,Female,276.6,260.2,213.3,56.7,82.1,39.3
WR,39,Female,213.7,209,176,42,75,36
WR,40,Female,294.8,247,203,49,85,42
WR,41,Female,263.3,223,186,43,84,40.3
WR,42,Female,270.3,221,186,44,82,40.1
WR,43,Female,173.2,185,156,39,72,36
WR,44,Female,288.3,224,185,43,82,45
WR,45,Female,311.6,237,199,51,84,39
WR,46,Female,304,230,193,46,85,41
WR,47,Female,313.7,228,191,43,85,42
WR,48,Female,312.3,234,195,49,85,44.5
WR,49,Female,242.6,212,171,43,77,41
WR,50,Female,264.4,225,191,46,78,39
WR,51,Female,256.1,230,187,46,79,40
WR,52,Female,249.3,255,205,56,81,40
WR,53,Female,269.9,231,192,46,81,40
WR,54,Female,227.8,214,182,41,76,35
WR,55,Female,253.2,215,182,42,77,41
WR,56,Female,246.9,230,194,46,78,39
WR,57,Female,183.9,221,182,43,76,31
WR,58,Female,397.6,251,212,51,93,45
WR,59,Female,326.4,251,201,46,82,40
WR,60,Female,192.4,200.3,173,39,70,35
