chr,start,stop,ID,name,comment
1,7686,22795,RC01G000010,CACNA1S,Voltage-sensitive calcium channels (VSCC) mediate the entry of calcium ions into excitable cells and are also involved in a variety of calcium-dependent processes
1,23193,27045,RC01G000020,CACNA1S,Voltage-sensitive calcium channels (VSCC) mediate the entry of calcium ions into excitable cells and are also involved in a variety of calcium-dependent processes
1,28944,31619,RC01G000030,KCTD20,Potassium channel tetramerization domain containing 20
1,34602,41654,RC01G000040,STK38,serine threonine kinase
1,44265,52489,RC01G000050,CEPT1,Belongs to the CDP-alcohol phosphatidyltransferase class-I family
1,55336,58966,RC01G000060,DRAM2,autophagy modulator
1,60396,69911,RC01G000070,DENND2D,DENN MADD domain containing
1,72959,78434,RC01G000080,cry4,FAD binding domain of DNA photolyase
1,82095,87520,RC01G000090,unknown,FAD binding domain of DNA photolyase
1,90053,100340,RC01G000100,RBBP5,Retinoblastoma binding protein 5
1,105949,113781,RC01G000110,unknown,neuromuscular junction development
1,116739,117720,RC01G000120,BTG2,B-cell translocation gene 2
1,128523,134245,RC01G000130,ZNF76,Zinc finger protein 76
1,138191,140843,RC01G000140,C6orf89,Bombesin receptor-activated protein C6orf89 homolog
1,142499,146039,RC01G000150,ARL8A,ADP-ribosylation factor-like
1,200521,235436,RC01G000160,NLRP12,PRY
1,398404,401262,RC01G000170,NLRP14,Fish-specific NACHT associated domain
1,674880,678846,RC01G000180,unknown,SET (Su(var)3-9
1,800988,1003111,RC01G000190,NLRP12,PRY
1,1188923,1189075,RC01G000200,unknown,unknown
1,1274742,1279972,RC01G000210,unknown,unknown
1,1717654,1723016,RC01G000220,NLRP14,Leucine Rich repeat
1,1780134,1789118,RC01G000230,NLRP14,Leucine Rich repeat
1,1883003,1883189,RC01G000240,unknown,interleukin-8 biosynthetic process
1,2753248,2759499,RC01G000250,NLRP12,PRY
1,2836597,2837439,RC01G000260,unknown,Reverse transcriptase (RNA-dependent DNA polymerase)
1,3084895,3094984,RC01G000270,NLRP14,Leucine Rich repeat
1,3617624,3617938,RC01G000280,unknown,unknown
1,3642059,3642403,RC01G000290,unknown,Herpesvirus alkaline exonuclease
1,3880538,3896904,RC01G000300,NLRP14,Leucine Rich repeat
1,3973019,4037144,RC01G000310,NLRP12,PRY
1,4253528,4255796,RC01G000320,ELF3,E74-like factor 3 (ets domain transcription factor
1,4260054,4264038,RC01G000330,APOBEC2,Apolipoprotein B mRNA editing enzyme
1,4266557,4267929,RC01G000340,unknown,Parathyroid hormone family
1,4269187,4273859,RC01G000350,SRSF3,Serine arginine-rich splicing factor
1,4279399,4280529,RC01G000360,CDKN1A,Cyclin-dependent kinase inhibitor
1,4283422,4287033,RC01G000370,TMCC2,Transmembrane and coiled-coil domain family 2
1,4290458,4292360,RC01G000380,USP49,Ubiquitin specific peptidase 49
1,4297652,4299275,RC01G000390,ccnd3,Belongs to the cyclin family
1,4301225,4307626,RC01G000400,NUAK2,NUAK family
1,4314873,4324449,RC01G000410,DSTYK,Dual serine threonine and tyrosine protein
1,4325998,4329575,RC01G000420,unknown,unknown
1,4344314,4349669,RC01G000430,CAPZB,Capping protein (actin filament) muscle Z-line
1,4357959,4358818,RC01G000440,TMEM88B,Transmembrane protein 88B
1,4362935,4368388,RC01G000450,unknown,Cyclin_C
1,4369007,4605321,RC01G000460,NLRP12,NLRP3 inflammasome complex assembly
1,4607975,4611166,RC01G000470,SDHB,Iron-sulfur protein (IP) subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q)
1,4612548,4619171,RC01G000480,ATAD3A,ATPase family
1,4642613,4647916,RC01G000490,FBXO42,F-box protein 42
1,4656283,4681108,RC01G000500,SPEN,Spen family transcriptional repressor
1,4699986,4710792,RC01G000510,unknown,Regulates the GDP GTP exchange reaction of most RAB proteins by inhibiting the dissociation of GDP from them
1,4713588,4714788,RC01G000520,RHOA,Belongs to the small GTPase superfamily. Rho family
1,4910537,4913753,RC01G000530,SDHB,Iron-sulfur protein (IP) subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q)
1,4915110,4922248,RC01G000540,ATAD3A,ATPase family
1,5054181,5059365,RC01G000550,GIMAP7,AIG1 family
1,5067749,5069826,RC01G000560,unknown,Interferon-induced very large GTPase 1-like
1,5116126,5141117,RC01G000570,unknown,Interferon-induced very large GTPase 1-like
1,5200116,5202876,RC01G000580,unknown,unknown
1,5230359,5294605,RC01G000590,NLRP12,PRY
1,5351119,5360401,RC01G000600,GPR37L1,G protein-coupled receptor 37 like 1a
1,5366819,5370343,RC01G000610,ARL8A,ADP-ribosylation factor-like
1,5371994,5374566,RC01G000620,C6orf89,Bombesin receptor-activated protein C6orf89 homolog
1,5383633,5389821,RC01G000630,ZNF76,Zinc finger protein 76
1,5401902,5402882,RC01G000640,BTG2,B-cell translocation gene 2
1,5405777,5415341,RC01G000650,unknown,neuromuscular junction development
1,5418121,5427077,RC01G000660,RBBP5,Retinoblastoma binding protein 5
1,5436372,5441823,RC01G000670,unknown,FAD binding domain of DNA photolyase
1,5445623,5450784,RC01G000680,cry4,FAD binding domain of DNA photolyase
1,5456285,5465956,RC01G000690,DENND2D,DENN MADD domain containing
1,5467506,5469730,RC01G000700,DRAM2,autophagy modulator
1,5473840,5481838,RC01G000710,CEPT1,Belongs to the CDP-alcohol phosphatidyltransferase class-I family
1,5484365,5491554,RC01G000720,STK38,serine threonine kinase
1,5495210,5521466,RC01G000730,CACNA1S,Voltage-sensitive calcium channels (VSCC) mediate the entry of calcium ions into excitable cells and are also involved in a variety of calcium-dependent processes
1,5522864,5537956,RC01G000740,DEF6,Differentially expressed in FDCP
1,5544387,5547198,RC01G000750,PPARD,peroxisome proliferator-activated receptor
1,5554679,5558272,RC01G000760,unknown,Si ch73-352p18.4
1,5561164,5566823,RC01G000770,unknown,Calcium calmodulin-dependent protein kinase
1,5568362,5580156,RC01G000780,LAMB3,Laminin
1,5591841,5595281,RC01G000790,WDR77,WD repeat domain 77
1,5596376,5604037,RC01G000800,unknown,protein C6orf132 homolog
1,5638010,5710574,RC01G000810,NLRP14,Leucine Rich repeat
1,5749069,5749641,RC01G000820,GIMAP7,GTPase IMAP family member 8-like
1,6056603,6074803,RC01G000830,NLRP14,Leucine Rich repeat
1,6289542,6290159,RC01G000840,unknown,unknown
1,6650078,6728636,RC01G000850,NLRP14,Leucine Rich repeat
1,7234716,7325970,RC01G000860,NLRP12,PRY
1,7379472,7502010,RC01G000870,NLRP14,Fish-specific NACHT associated domain
1,7583830,7585178,RC01G000880,HKR1,Zinc finger protein
1,7624595,7632235,RC01G000890,unknown,unknown
1,7722118,7724725,RC01G000900,HKR1,Zinc finger protein
1,7733034,7739831,RC01G000910,HKR1,Zinc finger protein
1,7750204,7754934,RC01G000920,unknown,Zinc finger protein
1,7758693,7761225,RC01G000930,unknown,guanylate cyclase activator
1,7764392,7769872,RC01G000940,IRF6,Interferon regulatory factor
1,7780727,7799412,RC01G000950,AMPD2,Belongs to the metallo-dependent hydrolases superfamily. Adenosine and AMP deaminases family
1,7957110,7968136,RC01G000960,unknown,Immunoglobulin
1,7981653,7982639,RC01G000970,unknown,nucleic acid binding
1,7988986,7989852,RC01G000980,HKR1,Zinc finger protein
1,8026976,8048272,RC01G000990,unknown,unknown
1,8197488,8214298,RC01G001000,unknown,unknown
1,8360086,8369615,RC01G001010,HKR1,Zinc finger protein
1,8371719,8386432,RC01G001020,unknown,unknown
1,8388854,8419460,RC01G001030,unknown,unknown
